Year,Indicator_Name,Value
2005,Gold_USD,445
2006,Gold_USD,603
2007,Gold_USD,695
2008,Gold_USD,872
2009,Gold_USD,972
2010,Gold_USD,1225
2011,Gold_USD,1572
2012,Gold_USD,1669
2013,Gold_USD,1411
2014,Gold_USD,1266
2015,Gold_USD,1160
2016,Gold_USD,1248
2017,Gold_USD,1257
2018,Gold_USD,1268
2019,Gold_USD,1392
2020,Gold_USD,1770
2021,Gold_USD,1799
2022,Gold_USD,1800
2023,Gold_USD,1940
2024,Gold_USD,2300
2025,Gold_USD,2500
2005,Nasdaq_Index,2205
2006,Nasdaq_Index,2263
2007,Nasdaq_Index,2578
2008,Nasdaq_Index,2161
2009,Nasdaq_Index,1845
2010,Nasdaq_Index,2349
2011,Nasdaq_Index,2677
2012,Nasdaq_Index,2965
2013,Nasdaq_Index,3541
2014,Nasdaq_Index,4375
2015,Nasdaq_Index,4945
2016,Nasdaq_Index,4987
2017,Nasdaq_Index,6235
2018,Nasdaq_Index,7425
2019,Nasdaq_Index,7940
2020,Nasdaq_Index,10200
2021,Nasdaq_Index,14370
2022,Nasdaq_Index,12200
2023,Nasdaq_Index,13800
2024,Nasdaq_Index,16500
2025,Nasdaq_Index,18200
2005,S&P500_Index,1248
2006,S&P500_Index,1310
2007,S&P500_Index,1477
2008,S&P500_Index,1220
2009,S&P500_Index,948
2010,S&P500_Index,1139
2011,S&P500_Index,1267
2012,S&P500_Index,1379
2013,S&P500_Index,1643
2014,S&P500_Index,1931
2015,S&P500_Index,2061
2016,S&P500_Index,2094
2017,S&P500_Index,2449
2018,S&P500_Index,2746
2019,S&P500_Index,2913
2020,S&P500_Index,3217
2021,S&P500_Index,4273
2022,S&P500_Index,4100
2023,S&P500_Index,4500
2024,S&P500_Index,5000
2025,S&P500_Index,5200
2005,BIST100_USD,250
2006,BIST100_USD,265
2007,BIST100_USD,380
2008,BIST100_USD,220
2009,BIST100_USD,240
2010,BIST100_USD,450
2011,BIST100_USD,320
2012,BIST100_USD,360
2013,BIST100_USD,480
2014,BIST100_USD,380
2015,BIST100_USD,300
2016,BIST100_USD,260
2017,BIST100_USD,280
2018,BIST100_USD,200
2019,BIST100_USD,180
2020,BIST100_USD,160
2021,BIST100_USD,150
2022,BIST100_USD,180
2023,BIST100_USD,280
2024,BIST100_USD,310
2025,BIST100_USD,320
2005,US_CPI_Index,100
2006,US_CPI_Index,103.2
2007,US_CPI_Index,106.1
2008,US_CPI_Index,110.2
2009,US_CPI_Index,109.8
2010,US_CPI_Index,111.6
2011,US_CPI_Index,115.1
2012,US_CPI_Index,117.5
2013,US_CPI_Index,119.2
2014,US_CPI_Index,121.1
2015,US_CPI_Index,121.3
2016,US_CPI_Index,122.8
2017,US_CPI_Index,125.4
2018,US_CPI_Index,128.5
2019,US_CPI_Index,130.8
2020,US_CPI_Index,132.5
2021,US_CPI_Index,138.7
2022,US_CPI_Index,149.8
2023,US_CPI_Index,155.9
2024,US_CPI_Index,161.2
2025,US_CPI_Index,165.5
