Year,Category,Name,Value
2005,Watch,Patek_Philippe_Nautilus,17000
2006,Watch,Patek_Philippe_Nautilus,18500
2007,Watch,Patek_Philippe_Nautilus,20000
2008,Watch,Patek_Philippe_Nautilus,21500
2009,Watch,Patek_Philippe_Nautilus,22800
2010,Watch,Patek_Philippe_Nautilus,23700
2011,Watch,Patek_Philippe_Nautilus,24800
2012,Watch,Patek_Philippe_Nautilus,26700
2013,Watch,Patek_Philippe_Nautilus,28500
2014,Watch,Patek_Philippe_Nautilus,29800
2015,Watch,Patek_Philippe_Nautilus,30000
2016,Watch,Patek_Philippe_Nautilus,30000
2017,Watch,Patek_Philippe_Nautilus,31000
2018,Watch,Patek_Philippe_Nautilus,32500
2019,Watch,Patek_Philippe_Nautilus,33200
2020,Watch,Patek_Philippe_Nautilus,33700
2021,Watch,Patek_Philippe_Nautilus,34890
2005,Watch,Audemars_Piguet_RoyalOak,11500
2006,Watch,Audemars_Piguet_RoyalOak,12500
2007,Watch,Audemars_Piguet_RoyalOak,13800
2008,Watch,Audemars_Piguet_RoyalOak,14500
2009,Watch,Audemars_Piguet_RoyalOak,15400
2010,Watch,Audemars_Piguet_RoyalOak,16200
2011,Watch,Audemars_Piguet_RoyalOak,16900
2012,Watch,Audemars_Piguet_RoyalOak,17800
2013,Watch,Audemars_Piguet_RoyalOak,18500
2014,Watch,Audemars_Piguet_RoyalOak,19200
2015,Watch,Audemars_Piguet_RoyalOak,19200
2016,Watch,Audemars_Piguet_RoyalOak,17800
2017,Watch,Audemars_Piguet_RoyalOak,17800
2018,Watch,Audemars_Piguet_RoyalOak,19200
2019,Watch,Audemars_Piguet_RoyalOak,20400
2020,Watch,Audemars_Piguet_RoyalOak,22900
2021,Watch,Audemars_Piguet_RoyalOak,24800
2022,Watch,Audemars_Piguet_RoyalOak,26600
2023,Watch,Audemars_Piguet_RoyalOak,27800
2024,Watch,Audemars_Piguet_RoyalOak,28700
2025,Watch,Audemars_Piguet_RoyalOak,30500
2005,Watch,Rolex_Daytona,6600
2006,Watch,Rolex_Daytona,7900
2007,Watch,Rolex_Daytona,9200
2008,Watch,Rolex_Daytona,9900
2009,Watch,Rolex_Daytona,10400
2010,Watch,Rolex_Daytona,10400
2011,Watch,Rolex_Daytona,11250
2012,Watch,Rolex_Daytona,12000
2013,Watch,Rolex_Daytona,12000
2014,Watch,Rolex_Daytona,12000
2015,Watch,Rolex_Daytona,12000
2016,Watch,Rolex_Daytona,12400
2017,Watch,Rolex_Daytona,12400
2018,Watch,Rolex_Daytona,12400
2019,Watch,Rolex_Daytona,13150
2020,Watch,Rolex_Daytona,13150
2021,Watch,Rolex_Daytona,13150
2022,Watch,Rolex_Daytona,14550
2023,Watch,Rolex_Daytona,15100
2024,Watch,Rolex_Daytona,15100
2025,Watch,Rolex_Daytona,15700
2005,Watch,Rolex_Submariner,4250
2006,Watch,Rolex_Submariner,4525
2007,Watch,Rolex_Submariner,5175
2008,Watch,Rolex_Submariner,6000
2009,Watch,Rolex_Submariner,6375
2010,Watch,Rolex_Submariner,7375
2011,Watch,Rolex_Submariner,7800
2012,Watch,Rolex_Submariner,8550
2013,Watch,Rolex_Submariner,8550
2014,Watch,Rolex_Submariner,8550
2015,Watch,Rolex_Submariner,8550
2016,Watch,Rolex_Submariner,8550
2017,Watch,Rolex_Submariner,8550
2018,Watch,Rolex_Submariner,8550
2019,Watch,Rolex_Submariner,8950
2020,Watch,Rolex_Submariner,9150
2021,Watch,Rolex_Submariner,9150
2022,Watch,Rolex_Submariner,10100
2023,Watch,Rolex_Submariner,10250
2024,Watch,Rolex_Submariner,10250
2025,Watch,Rolex_Submariner,10700
2005,Watch,Rolex_GMT_Master_II,4250
2006,Watch,Rolex_GMT_Master_II,4750
2007,Watch,Rolex_GMT_Master_II,5950
2008,Watch,Rolex_GMT_Master_II,6825
2009,Watch,Rolex_GMT_Master_II,7000
2010,Watch,Rolex_GMT_Master_II,7300
2011,Watch,Rolex_GMT_Master_II,7900
2012,Watch,Rolex_GMT_Master_II,8450
2013,Watch,Rolex_GMT_Master_II,8450
2014,Watch,Rolex_GMT_Master_II,8450
2015,Watch,Rolex_GMT_Master_II,8450
2016,Watch,Rolex_GMT_Master_II,8450
2017,Watch,Rolex_GMT_Master_II,8450
2018,Watch,Rolex_GMT_Master_II,9250
2019,Watch,Rolex_GMT_Master_II,9250
2020,Watch,Rolex_GMT_Master_II,9500
2021,Watch,Rolex_GMT_Master_II,9500
2022,Watch,Rolex_GMT_Master_II,10550
2023,Watch,Rolex_GMT_Master_II,10700
2024,Watch,Rolex_GMT_Master_II,10700
2025,Watch,Rolex_GMT_Master_II,11150
2005,Watch,Richard_Mille_RM011,75000
2006,Watch,Richard_Mille_RM011,80000
2007,Watch,Richard_Mille_RM011,85000
2008,Watch,Richard_Mille_RM011,90000
2009,Watch,Richard_Mille_RM011,95000
2010,Watch,Richard_Mille_RM011,98000
2011,Watch,Richard_Mille_RM011,105000
2012,Watch,Richard_Mille_RM011,110000
2013,Watch,Richard_Mille_RM011,115000
2014,Watch,Richard_Mille_RM011,120000
2015,Watch,Richard_Mille_RM011,125000
2016,Watch,Richard_Mille_RM011,130000
2017,Watch,Richard_Mille_RM011,145000
2018,Watch,Richard_Mille_RM011,150000
2019,Watch,Richard_Mille_RM011,155000
2020,Watch,Richard_Mille_RM011,165000
2021,Watch,Richard_Mille_RM011,175000
2022,Watch,Richard_Mille_RM011,185000
2023,Watch,Richard_Mille_RM011,195000
2024,Watch,Richard_Mille_RM011,210000
2025,Watch,Richard_Mille_RM011,225000
2005,Watch,Omega_Speedmaster,2600
2006,Watch,Omega_Speedmaster,2800
2007,Watch,Omega_Speedmaster,3000
2008,Watch,Omega_Speedmaster,3200
2009,Watch,Omega_Speedmaster,3400
2010,Watch,Omega_Speedmaster,3500
2011,Watch,Omega_Speedmaster,3700
2012,Watch,Omega_Speedmaster,4000
2013,Watch,Omega_Speedmaster,4200
2014,Watch,Omega_Speedmaster,4400
2015,Watch,Omega_Speedmaster,4500
2016,Watch,Omega_Speedmaster,4700
2017,Watch,Omega_Speedmaster,5000
2018,Watch,Omega_Speedmaster,5250
2019,Watch,Omega_Speedmaster,5350
2020,Watch,Omega_Speedmaster,5500
2021,Watch,Omega_Speedmaster,6300
2022,Watch,Omega_Speedmaster,6400
2023,Watch,Omega_Speedmaster,7000
2024,Watch,Omega_Speedmaster,7000
2025,Watch,Omega_Speedmaster,7600
2005,Watch,Omega_Seamaster_300,2100
2006,Watch,Omega_Seamaster_300,2300
2007,Watch,Omega_Seamaster_300,2500
2008,Watch,Omega_Seamaster_300,2700
2009,Watch,Omega_Seamaster_300,2900
2010,Watch,Omega_Seamaster_300,3100
2011,Watch,Omega_Seamaster_300,3400
2012,Watch,Omega_Seamaster_300,3600
2013,Watch,Omega_Seamaster_300,3800
2014,Watch,Omega_Seamaster_300,4000
2015,Watch,Omega_Seamaster_300,4200
2016,Watch,Omega_Seamaster_300,4400
2017,Watch,Omega_Seamaster_300,4400
2018,Watch,Omega_Seamaster_300,4800
2019,Watch,Omega_Seamaster_300,5000
2020,Watch,Omega_Seamaster_300,5200
2021,Watch,Omega_Seamaster_300,5400
2022,Watch,Omega_Seamaster_300,5400
2023,Watch,Omega_Seamaster_300,5900
2024,Watch,Omega_Seamaster_300,5900
2025,Watch,Omega_Seamaster_300,6300
2005,Watch,Rolex_Datejust,4400
2006,Watch,Rolex_Datejust,4700
2007,Watch,Rolex_Datejust,5000
2008,Watch,Rolex_Datejust,5400
2009,Watch,Rolex_Datejust,5800
2010,Watch,Rolex_Datejust,6300
2011,Watch,Rolex_Datejust,6500
2012,Watch,Rolex_Datejust,6700
2013,Watch,Rolex_Datejust,6700
2014,Watch,Rolex_Datejust,6700
2015,Watch,Rolex_Datejust,6700
2016,Watch,Rolex_Datejust,6700
2017,Watch,Rolex_Datejust,6700
2018,Watch,Rolex_Datejust,6700
2019,Watch,Rolex_Datejust,7050
2020,Watch,Rolex_Datejust,7050
2021,Watch,Rolex_Datejust,7050
2022,Watch,Rolex_Datejust,7750
2023,Watch,Rolex_Datejust,8000
2024,Watch,Rolex_Datejust,8000
2025,Watch,Rolex_Datejust,8250
2005,Watch,Patek_Philippe_Calatrava,15500
2006,Watch,Patek_Philippe_Calatrava,16200
2007,Watch,Patek_Philippe_Calatrava,17000
2008,Watch,Patek_Philippe_Calatrava,17800
2009,Watch,Patek_Philippe_Calatrava,18200
2010,Watch,Patek_Philippe_Calatrava,18200
2011,Watch,Patek_Philippe_Calatrava,19000
2012,Watch,Patek_Philippe_Calatrava,19500
2013,Watch,Patek_Philippe_Calatrava,19500
2014,Watch,Patek_Philippe_Calatrava,19500
2015,Watch,Patek_Philippe_Calatrava,20500
2016,Watch,Patek_Philippe_Calatrava,20500
